npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1508830407,1340,1508830407,BRIAN JEFFERSON,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",936,1485,7.036,28.591,Interventional Cardiology
1508830407,1340,1508830407,BRIAN JEFFERSON,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1932146032,"HCA HEALTH SERVICES OF TENNESSEE, INC.",79,86,26.372,54.976,Interventional Cardiology
1508838400,1336,1508838400,HERMOGENES BATTAD,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1417938846,"MACON COUNTY GENERAL HOSPITAL, INC.",85,108,42.259,50.66,Pulmonary Disease
1508838400,1336,1508838400,HERMOGENES BATTAD,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",142,171,31.649,64.423,Pulmonary Disease
1508838400,1336,1508838400,HERMOGENES BATTAD,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1285644237,"SUMNER REGIONAL HEALTH SYSTEMS, INC",96,132,27.091,51.186,Pulmonary Disease
1508838400,1336,1508838400,HERMOGENES BATTAD,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,867,1787,2.932,14.587,Pulmonary Disease
1508839622,1359,1508839622,MICHAEL BAKER,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1861479545,MAURY REGIONAL HOSPITAL,62,65,37.662,49.298,Cardiovascular Disease
1508839622,1359,1508839622,MICHAEL BAKER,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1598738205,VANDERBILT STALLWORTH REHABILITATION HOSPITAL LP,50,50,48.48,62.452,Cardiovascular Disease
1508839622,1359,1508839622,MICHAEL BAKER,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,1965,2328,7.592,22.975,Cardiovascular Disease
1508862939,1353,1508862939,CHERYL FASSLER,Allopathic & Osteopathic Physicians,Internal Medicine,"Endocrinology, Diabetes & Metabolism",1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",51,71,45.296,55.68,"Endocrinology, Diabetes & Metabolism"
1508862939,1353,1508862939,CHERYL FASSLER,Allopathic & Osteopathic Physicians,Internal Medicine,"Endocrinology, Diabetes & Metabolism",1780778969,SAINT THOMAS WEST HOSPITAL,89,111,38.027,55.185,"Endocrinology, Diabetes & Metabolism"
1508884875,1337,1508884875,MATTHEW MILLIGAN,Allopathic & Osteopathic Physicians,Family Medicine,,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",254,415,34.858,49.531,Family Medicine
1508884875,1337,1508884875,MATTHEW MILLIGAN,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,48,86,38.581,57.584,Family Medicine
1508890286,1338,1508890286,LESTER PORTER,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1629025648,SAINT THOMAS WEST HOSPITAL,267,633,16.591,41.178,Medical Oncology
1508890286,1338,1508890286,LESTER PORTER,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",43,56,35.482,47.798,Medical Oncology
1508890286,1338,1508890286,LESTER PORTER,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1780778969,SAINT THOMAS WEST HOSPITAL,73,92,35.37,58.783,Medical Oncology
1508890286,1338,1508890286,LESTER PORTER,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,57,88,38.864,53.723,Medical Oncology
1508913302,1359,1508913302,KELLY BIRDWELL,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,248,637,1.84,10.813,Nephrology
